status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
28071939336_10154789535694337,brought back this Major Lazer classic for Black Friday #getfree,Major Lazer,photo,https://www.facebook.com/majorlazer/photos/a.487196328931.262551.53783138931/10154160257833932/?type=3,2016-11-25 11:21:44,5506,25,0,4860,614,27,5,0,0
28071939336_10154730235936797,A Very Decent Christmas 4 🎅🌲🎁 Mad Decent,,video,https://www.facebook.com/diplo/videos/10154730235936797/,2016-11-22 16:13:26,5105,43,153,4527,450,86,39,2,1
28071939336_10154150391483932,"jamaica...tix available now for Major Lazer + Friends.
get those early bird tix at ribbiz",,video,https://www.facebook.com/diplo/videos/10154150391483932/,2016-11-21 13:01:31,5346,52,160,4727,582,22,15,0,0
28071939336_10154767840389337,new Major Lazer jacket available now..,Major Lazer,photo,https://www.facebook.com/majorlazer/photos/a.487196328931.262551.53783138931/10154139735383932/?type=3,2016-11-17 14:33:21,2794,27,1,2521,243,23,5,2,0
28071939336_10154765234659337,burn brighter..track I produced for PAVLOVA featured in this new Victoria's Secret spot 💖💪,Victoria Sport,video,https://www.facebook.com/VictoriaSport/videos/1351790878165309/,2016-11-16 16:17:22,2266,74,0,2022,197,31,9,4,3
28071939336_10154762619799337,"My first bus tour was opening for Justice in 2009 it was sponsored by myspace! i thought at that moment. No way can electronic music get any bigger..!! this is it! we did it i was part of the biggest thing ! it was cool to be with Gaspard , Xavier , Pedro from Ed Banger Records. they were part of a french wave of music that influenced electronic music so massively in the USA.. it gave a face and a style and more importantly an attitude to the producers and DJ culture that was bubbling up everywhere.. they weren't Djs they were rock stars first .. after Justice the music got even harder and then went ever further pop .. but these guys stood up with the same mantra since those days and have been true to the music and kept making great stuff.. i don't think we could have had this scene without their pioneering style and vision. Ed Banger was a huge influence to what we could do with Mad Decent. #etjusticepourtous",Timeline Photos,photo,https://www.facebook.com/diplo/photos/a.396614469336.167975.28071939336/10154762619799337/?type=3,2016-11-15 17:45:38,11891,117,156,10659,1124,92,14,1,1
28071939336_10154759639469337,favorite Major Lazer show of the year 🇯🇲  tickets on sale this Friday,Major Lazer,photo,https://www.facebook.com/majorlazer/photos/a.487196328931.262551.53783138931/10154130227608932/?type=3,2016-11-14 18:10:44,1660,28,0,1506,144,4,5,1,0
28071939336_10154124257678932,#lazersound starts now,,video,https://www.facebook.com/diplo/videos/10154124257678932/,2016-11-12 15:10:33,3932,15,51,3598,312,15,1,6,0
28071939336_10154121233908932,new cold water remix by Don Omar,,video,https://www.facebook.com/diplo/videos/10154121233908932/,2016-11-11 11:08:47,14513,757,1771,10615,1725,173,383,118,1499
28071939336_10154739579019337,Haters mad for whatever reason,Timeline Photos,photo,https://www.facebook.com/diplo/photos/a.396614469336.167975.28071939336/10154739579019337/?type=3,2016-11-08 15:50:25,28724,104,235,25608,2794,85,234,1,2
